EVENTID,EVENT,DATE,OFFICIALRESULTS,VIDEOURL,GAMEID,GAME,GOAL,KEY,RUNNER1,RUNNER1TIME,RUNNER2,RUNNER2TIME,RUNNER3,RUNNER3TIME,RUNNER4,RUNNER4TIME,RUNNER5,RUNNER5TIME,RUNNER6,RUNNER6TIME,RUNNER7,RUNNER7TIME,RUNNER8,RUNNER8TIMR,RUNNER9,RUNNER9TIME,RUNNER10,RUNNER10TIME,RUNNER11,RUNNER11TIME,RUNNER12,RUNNER12TIME,RUNNER13,RUNNER13TIME,RUNNER14,RUNNER14TIME,RUNNER15,RUNNER15TIME,RUNNER16,RUNNER16TIME,RUNNER17,RUNNER17TIME,RUNNER18,RUNNER18TIME,RUNNER19,RUNNER19TIME,RUNNER20,RUNNER20TIME,RUNNER21,RUNNER21TIME
13,,,,,13,Shadow of the Beast II,Beat the Game (Easy),13_13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,14,Cadash,Reach Gnome Village,13_14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,15,Streets of Rage 3,Beat Yamato Boss (Easy),13_15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,16,3 Ninjas Kick Back,Beat the Game (Easy),13_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Sega 8 #3,11/12/2022,https://racetime.gg/misc/silly-boo-6311,https://www.youtube.com/watch?v=IknuPKBEf7w,1,Sonic the Hedgehog 3,Beat the Game,14_1,Shimegabriel,2:05:11,GnarBlast,2:21:31,JaekRock,2:46:41,sauloandrade_,3:34:43,radioactive_man_from_mars,3:47:20,Random64,4:55:20,FeRReTDiPiTY,9:31:00,FedePG,DNF,infinitemystery,DNF,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,2,Wonder Boy III: Monster Lair,"Score Attack: 100,000 - Beginner",14_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,3,Columns III: Revenge of Columns,Beat Skeleton - Normal,14_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,4,Splatterhouse 3,Beat Stage 3 - Easy,14_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,5,Tecmo Super Bowl III: Final Edition,Beat Pro Bowl,14_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,6,Valis III,Speak to Ice World Man,14_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,7,Phantasy Star III,Meet Lyle),14_7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,8,Shinobi III: Return of the Ninja Master,Beat the Game,14_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Master 8 #3,4/8/2023,https://racetime.gg/misc/swag-meowth-1242,https://www.youtube.com/watch?v=IhKB4F9eDUg,1,Double Dragon,Beat Mission 3,15_1,Quarbit85,1:29:06,The8bitBeast,1:32:08,GnarBlast,1:33:17,arnaud33200,1:38:21,GrandCoune,1:45:18,buhender,1:49:13,Emsemts,1:52:46,Random64,5:25:38,FedePG,7:05:32,BrotherKyle88,7:18:32,,,,,,,,,,,,,,,,,,,,,,
15,,,,,2,Rastan,Beat Green Dragon Boss,15_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,3,Mercs,Beat the Game,15_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,4,Asterix,Beat 4-3,15_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,5,Rampage,"Score Attack: 75,000 Points",15_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,6,Taz-Mania,Beat the Game,15_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,7,Bonanza Bros,Loot the Library,15_7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,8,Ghouls n' Ghosts,Beat Loop 1,15_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Sega 8 #4,10/14/2023,https://racetime.gg/misc/proud-wiggler-7221,https://www.youtube.com/watch?v=vTPIC2a7pLk,1,Golden Axe,Beat the Game - Arcade Mode,16_1,Shimegabriel,1:26:18,chill_runs,1:28:40,GnarBlast,1:29:34,StJoe,1:31:29,Quarbit85,1:33:01,ZeeGee_,1:33:49,beadle111,1:34:59,Paulsaltine,1:37:14,dshana__,1:38:00,tHiAgOcH,1:39:35,Reeve42,1:40:01,Svipur,1:42:41,JFred99,1:49:36,Emsemts,1:59:11,Bradyo,2:01:55,ThumbBros,2:03:08,GoldenOgreGames,2:19:50,zendoikaban,2:24:00,FedePG,8:24:26,Random64,13:22:32,buhender,13:40:28
16,,,,,2,Kid Chameleon,Beat Sinister Sewers,16_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,3,Rocket Knight Adventures,Beat Stage 3 - Easy,16_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,4,OutRun,Beat the Game,16_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,5,Gain Ground,Beat Round 2 - Easy,16_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,6,Beyond Oasis,Find Eifreet,16_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,7,Mega Man: The Wily Wars - Mega Man 3,Beat Robot Masters,16_7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,8,Shadow Dancer,Beat the Game,16_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,5G Game Gear #3,12/16/2023,https://racetime.gg/misc/dynamax-ezlo-7093,https://www.youtube.com/watch?v=9zXLqcKjt68,1,Tempo Jr.,Beat the Game,17_1,Reddylion,1:10:44,GnarBlast,1:13:10,squilibob,1:16:35,JFred99,1:32:15,arnaud33200,1:42:12,FedePG,4:39:26,Random64,5:25:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,2,Master of Darkness,Beat Stage 3-3,17_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,3,Baku Baku Animal,Beat the Game,17_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,4,Sylvan Tale,Comb%,17_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,5,Legend of Illusion Starring Mickey Mouse,Beat the Game,17_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Master 8 #4,4/13/2024,https://racetime.gg/misc/legendary-battletoad-1092,https://www.youtube.com/watch?v=1Pw0e2gqVuA,1,Earthworm Jim,Beat the Game,18_1,Quarbit85,1:30:05,GnarBlast,1:30:15,Paulsaltine,1:36:13,JFred99,1:40:24,arnaud33200,1:45:14,Random64,DNF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,2,Ecco the Dolphin,Beat Open Ocean,18_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,3,Mortal Kombat,Beat Enduro 1 - Hard Mode,18_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,4,Michael Jackson's Moonwalker,Beat Hideout,18_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,5,Sonic Spinball,Defeat Toxic Pools Boss,18_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,6,Wonder Boy in Monster World,Get Mermaid Pendant,18_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,7,Streets of Rage 2,Reach Basement,18_7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,8,Dynamite Headdy,Beat the Game,18_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Sega 8 #5,10/26/2024,https://racetime.gg/misc/quick-brock-8864,https://www.youtube.com/watch?v=e1erjenIE8c,1,Contra: Hard Corps,Hidden Ending,19_1,zendoikaban,1:34:09,Quarbit85,1:35:49,ZeeGee_,1:39:23,ReddyLion,1:40:54,jodosutari,1:45:43,Svipur,1:47:05,Grayskull83,1:48:37,Emsemts,1:53:34,Bradyo,2:00:37,GnarBlast,2:03:18,mackiegarou,2:09:07,hydrapower78,2:10:28,z_tox,2:27:17,Cacheline,3:28:04,,,,,,,,,,,,,,
19,,,,,2,Streets of Rage 2,Exit Pirate Bar,19_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,3,Ristar,Defeat Adahan Falls,19_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,4,Castlevania: Bloodlines,Beat Stage 4 (Easy),19_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,5,ToeJam & Earl,Collect 3 Ship Pieces - Earl Only,19_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,6,Mega Man: The Wily Wars (Mega Man & Mega Man 2),"Any 2 Robot Masters from MM1, Any 2 Robot Masters from MM2",19_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,7,Xenocrisis,Defeat Cthulhu Boss (Easy),19_7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,8,World of Illusion: Starring Mickey Mouse and Donald Duck,Beat the Game - Donald Only,19_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Master 8 #5,4/26/2025,https://racetime.gg/misc/tactical-ezlo-7832,https://www.youtube.com/watch?v=luAtmGStAo4,1,Kung Fu Kid,Beat the Game,20_1,ReddyLion,1:26:29,Quarbit85,1:28:32,petaQ_src,1:32:55,jodosutari,1:40:33,GnarBlast,1:40:51,GoldenOgreGames,1:42:58,JkL0ser,1:44:34,arnaud33200,1:52:46,emsemts,2:06:34,FedePG,9:50:07,MsGroke,19:59:44,Random64,DNF,Vriaeliss,DNF,ZeeGee_,DNF,,,,,,,,,,,,,,
20,,,,,2A,Basketball Nightmare,Score 100 Points,20_2A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,2B,Basketball Nightmare,Win 2 Games,20_2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,3A,Golvellius: Valley of Doom,Buy Valley Sword,20_3A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,3B,Golvellius: Valley of Doom,Defeat Bachular,20_3B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,4,Land of Illusion Starring Mickey Mouse,Beat Good Princess Castle,20_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,5A,Special Criminal Investigations,Beat Stage 3,20_5A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,5B,Special Criminal Investigations,Beat Stage 5,20_5B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,6A,Final Bubble Bobble,Beat Stage 25 (No Umbrella Warp),20_6A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,6B,Final Bubble Bobble,Beat Stage 13 (No Umbrella Warp),20_6B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,7,Fantasy Zone II: The Tears of Opa-Opa,Beat Stage 5,20_7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,8,Kenseiden,All Bosses,20_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Sega 8 #6,11/22/2025,https://racetime.gg/misc/brave-banjo-1577,https://www.youtube.com/watch?v=LVexyv7RFBU,1,Dinosaurs For Hire,Beat Hollywood,21_1,chill_runs,1:32:58,zendoikaban,1:33:57,ZeeGee_,1:34:23,jodosutari,1:41:59,Svipur,1:44:57,WillWagnerMusic,1:45:42,Grayskull83,1:54:49,ReddyLion,1:56:49,SamuraiTX90,2:03:33,GoldenOgreGames,2:06:48,Bradyo,2:19:42,Random64,3:47:01,MsGroke,4:37:03,arnaud33200,4:46:57,FedePG,5:23:44,GnarBlast,DNF,,,,,,,,,,
21,,,,,2,Mega Bomberman,Beat World 1,21_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,3,Dashin' Desperados,Beat World 2 (Beginner),21_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,4,Batman: The Video Game,(Beat the Game),21_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,5,Arnold Palmer Tournament Golf,Complete Hole 18,21_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,6,Valis: The Fantasm Soldier,Beat Stage 5,21_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,7,Teenage Mutant Ninja Turtles: The Hyperstone Heist,Beat Scene 3 (Easy),21_7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,8,Magical Taruruuto-Kun,Beat the Game,21_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Saturn8lia,1/31/2026,https://racetime.gg/misc/wild-tetra-3266,https://www.youtube.com/watch?v=5JrKU-_tPPQ,1,Mega Man X4,Beat any 3 Mavericks,22_1,Quarbit85,1:40:54,jodosutari,1:53:39,MsGroke,2:26:07,Random64,7:09:25,FedePG,7:15:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,2,Sonic Jam,Sonic World (All Missions),22_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,3,Cotton 2: Magical Night Dreams,Beat Stage 3 (Saturn Mode),22_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,4,Guardian Heroes,Beat Any 4 Stages,22_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,5,Sega Rally Championship,Arcade Mode (Easy) - 3 Laps,22_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,6,Linkle Liver Story,Beat Red Eye,22_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,7,Metal Slug,Complete Mission 5 (Arcade Mode Easy),22_7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,8,Clockwork Knight,Beat the Game,22_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Master 8 #6,4/11/2026,https://racetime.gg/misc/magic-rayman-5726,,1,Alex Kidd in Shinobi World,Beat the Game,23_1,Quarbit85,1:25:51,petaQ_src,1:31:53,Patton_Plays,1:31:58,arnaud33200,1:42:47,GoldenOgreGames,2:01:51,emsemts,2:06:52,Sacrieon,2:12:01,McGroke,2:32:18,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,2,Kenseiden,Beat Any 4 Bosses,23_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,3,Rastan,Beat Round 4,23_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,4,Master of Darkness,Beat Round 3 (No Death Glitch),23_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,5,Wonder Boy III: The Dragon's Trap,Purchase Shogun Blade,23_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,6,Ninja Gaiden,Beat Chapter 5,23_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,7,Asterix,Beat Round 3-3,23_7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,8,Castle of Illusion Starring Mickey Mouse,Beat the Game,23_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
